trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
25,99,3,-99,5,B,--,H,5,-99,3,H,--,B,I would choose slot machine B.,0,0,0,0,0
26,99,3,-99,6,B,--,A,3,-99,6,B,--,A,I would choose slot machine A.,1,0,0,0,0
27,99,3,-99,7,B,--,G,7,-99,3,G,--,B,I would choose slot machine B.,0,0,0,0,0
28,99,3,-99,8,B,--,F,8,-99,3,F,--,B,I would choose slot machine F.,1,1,0,0,0
29,99,3,-99,9,B,--,J,3,-99,9,B,--,J,I would choose slot machine J.,1,0,0,0,0
30,99,4,-99,5,E,--,H,5,-99,4,H,--,E,I would choose slot machine E.,0,0,0,0,0
31,99,4,-99,6,E,--,A,6,-99,4,A,--,E,I would choose slot machine A.,1,1,0,0,0
32,99,4,-99,7,E,--,G,4,-99,7,E,--,G,I would choose slot machine E.,0,1,0,0,0
33,99,4,-99,8,E,--,F,4,-99,8,E,--,F,I would choose slot machine E.,0,1,0,0,0
34,99,4,-99,9,E,--,J,9,-99,4,J,--,E,I would choose slot machine J.,1,1,0,0,0
35,99,5,-99,6,H,--,A,5,-99,6,H,--,A,I would choose slot machine A.,1,0,0,0,0
36,99,5,-99,7,H,--,G,7,-99,5,G,--,H,I would choose slot machine G.,1,1,0,0,0
37,99,5,-99,8,H,--,F,5,-99,8,H,--,F,I would choose slot machine F.,1,0,0,0,0
38,99,5,-99,9,H,--,J,5,-99,9,H,--,J,I would choose slot machine J.,1,0,0,0,0
39,99,6,-99,7,A,--,G,7,-99,6,G,--,A,I would choose slot machine A.,0,0,0,0,0
40,99,6,-99,8,A,--,F,8,-99,6,F,--,A,I would choose slot machine A.,0,0,0,0,0
41,99,6,-99,9,A,--,J,6,-99,9,A,--,J,I would choose slot machine J.,1,0,0,0,0
42,99,7,-99,8,G,--,F,8,-99,7,F,--,G,I would choose slot machine F.,1,1,0,0,0
43,99,7,-99,9,G,--,J,7,-99,9,G,--,J,I would choose slot machine J.,1,0,0,0,0
44,99,8,-99,9,F,--,J,9,-99,8,J,--,F,I would choose slot machine J.,1,1,0,0,0
