trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
50,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,16,0,48
51,1,2,3,4,F,B,A,3,2,4,B,F,A,I would choose slot machine A.,1,0,15,33,52
52,1,2,3,4,F,B,A,3,2,4,B,F,A,I would choose slot machine A.,1,0,12,34,50
53,1,2,3,4,F,B,A,4,2,3,A,F,B,I would choose slot machine A.,1,1,13,30,49
54,1,2,3,4,F,B,A,2,4,3,F,A,B,I would choose slot machine A.,1,0,13,33,43
55,3,7,8,9,H,J,I,9,8,7,I,J,H,I would choose slot machine I.,1,1,18,51,84
56,2,5,-99,6,C,--,E,6,-99,5,E,--,C,I would choose slot machine E.,1,1,11,0,85
57,0,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,11,0,53
58,1,2,3,4,F,B,A,2,3,4,F,B,A,I would choose slot machine A.,1,0,11,31,46
59,3,7,8,9,H,J,I,9,7,8,I,H,J,I would choose slot machine I.,1,1,14,52,87
0,99,0,-99,1,G,--,D,0,-99,1,G,--,D,I would choose slot machine D.,1,0,0,0,0
1,99,0,-99,2,G,--,F,0,-99,2,G,--,F,I would choose slot machine G.,0,1,0,0,0
2,99,0,-99,3,G,--,B,0,-99,3,G,--,B,I would choose slot machine G.,0,1,0,0,0
3,99,0,-99,4,G,--,A,4,-99,0,A,--,G,I would choose slot machine A.,1,1,0,0,0
4,99,0,-99,5,G,--,C,0,-99,5,G,--,C,I would choose slot machine G.,0,1,0,0,0
5,99,0,-99,6,G,--,E,6,-99,0,E,--,G,I would choose slot machine E.,1,1,0,0,0
6,99,0,-99,7,G,--,H,7,-99,0,H,--,G,I would choose slot machine H.,1,1,0,0,0
7,99,0,-99,8,G,--,J,0,-99,8,G,--,J,I would choose slot machine J.,1,0,0,0,0
8,99,0,-99,9,G,--,I,9,-99,0,I,--,G,I would choose slot machine I.,1,1,0,0,0
9,99,1,-99,2,D,--,F,2,-99,1,F,--,D,I would choose slot machine D.,0,0,0,0,0
10,99,1,-99,3,D,--,B,1,-99,3,D,--,B,I would choose slot machine D.,0,1,0,0,0
11,99,1,-99,4,D,--,A,4,-99,1,A,--,D,I would choose slot machine D.,0,0,0,0,0
12,99,1,-99,5,D,--,C,5,-99,1,C,--,D,I would choose slot machine D.,0,0,0,0,0
13,99,1,-99,6,D,--,E,6,-99,1,E,--,D,I would choose slot machine E.,1,1,0,0,0
14,99,1,-99,7,D,--,H,1,-99,7,D,--,H,I would choose slot machine D.,0,1,0,0,0
15,99,1,-99,8,D,--,J,1,-99,8,D,--,J,I would choose slot machine D.,0,1,0,0,0
16,99,1,-99,9,D,--,I,9,-99,1,I,--,D,I would choose slot machine I.,1,1,0,0,0
17,99,2,-99,3,F,--,B,3,-99,2,B,--,F,I would choose slot machine B.,1,1,0,0,0
18,99,2,-99,4,F,--,A,4,-99,2,A,--,F,I would choose slot machine A.,1,1,0,0,0
19,99,2,-99,5,F,--,C,2,-99,5,F,--,C,I would choose slot machine C.,1,0,0,0,0
20,99,2,-99,6,F,--,E,6,-99,2,E,--,F,I would choose slot machine E.,1,1,0,0,0
21,99,2,-99,7,F,--,H,7,-99,2,H,--,F,I would choose slot machine H.,1,1,0,0,0
22,99,2,-99,8,F,--,J,8,-99,2,J,--,F,I would choose slot machine J.,1,1,0,0,0
23,99,2,-99,9,F,--,I,9,-99,2,I,--,F,I would choose slot machine I.,1,1,0,0,0
24,99,3,-99,4,B,--,A,4,-99,3,A,--,B,I would choose slot machine A.,1,1,0,0,0
25,99,3,-99,5,B,--,C,3,-99,5,B,--,C,I would choose slot machine C.,1,0,0,0,0
26,99,3,-99,6,B,--,E,6,-99,3,E,--,B,I would choose slot machine E.,1,1,0,0,0
27,99,3,-99,7,B,--,H,7,-99,3,H,--,B,I would choose slot machine H.,1,1,0,0,0
28,99,3,-99,8,B,--,J,3,-99,8,B,--,J,I would choose slot machine J.,1,0,0,0,0
29,99,3,-99,9,B,--,I,9,-99,3,I,--,B,I would choose slot machine I.,1,1,0,0,0
30,99,4,-99,5,A,--,C,4,-99,5,A,--,C,I would choose slot machine A.,0,1,0,0,0
31,99,4,-99,6,A,--,E,4,-99,6,A,--,E,I would choose slot machine E.,1,0,0,0,0
32,99,4,-99,7,A,--,H,7,-99,4,H,--,A,I would choose slot machine A.,0,0,0,0,0
33,99,4,-99,8,A,--,J,8,-99,4,J,--,A,I would choose slot machine J.,1,1,0,0,0
34,99,4,-99,9,A,--,I,9,-99,4,I,--,A,I would choose slot machine I.,1,1,0,0,0
35,99,5,-99,6,C,--,E,5,-99,6,C,--,E,I would choose slot machine E.,1,0,0,0,0
36,99,5,-99,7,C,--,H,5,-99,7,C,--,H,I would choose slot machine C.,0,1,0,0,0
37,99,5,-99,8,C,--,J,5,-99,8,C,--,J,I would choose slot machine J.,1,0,0,0,0
38,99,5,-99,9,C,--,I,9,-99,5,I,--,C,I would choose slot machine I.,1,1,0,0,0
39,99,6,-99,7,E,--,H,7,-99,6,H,--,E,I would choose slot machine E.,0,0,0,0,0
40,99,6,-99,8,E,--,J,8,-99,6,J,--,E,I would choose slot machine J.,1,1,0,0,0
41,99,6,-99,9,E,--,I,6,-99,9,E,--,I,I would choose slot machine E.,0,1,0,0,0
42,99,7,-99,8,H,--,J,8,-99,7,J,--,H,I would choose slot machine J.,1,1,0,0,0
43,99,7,-99,9,H,--,I,7,-99,9,H,--,I,I would choose slot machine I.,1,0,0,0,0
44,99,8,-99,9,J,--,I,8,-99,9,J,--,I,I would choose slot machine I.,1,0,0,0,0
