trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
18,2,5,-99,6,C,--,D,5,-99,6,C,--,D,I would choose slot machine C.,0,1,12,0,86
19,1,2,3,4,F,J,B,4,3,2,B,J,F,I would choose slot machine B.,1,1,15,32,52
20,1,2,3,4,F,J,B,4,2,3,B,F,J,I would choose slot machine B.,1,1,15,34,44
21,2,5,-99,6,C,--,D,5,-99,6,C,--,D,I would choose slot machine C.,0,1,13,0,90
22,1,2,3,4,F,J,B,3,4,2,J,B,F,I would choose slot machine B.,1,0,11,32,49
23,1,2,3,4,F,J,B,3,2,4,J,F,B,I would choose slot machine B.,1,0,13,33,50
24,3,7,8,9,H,A,G,8,7,9,A,H,G,I would choose slot machine G.,1,0,14,51,84
25,3,7,8,9,H,A,G,9,8,7,G,A,H,I would choose slot machine G.,1,1,14,47,84
26,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,15,0,89
27,3,7,8,9,H,A,G,7,9,8,H,G,A,I would choose slot machine G.,1,0,13,50,86
28,0,0,-99,1,E,--,I,1,-99,0,I,--,E,Please respond with the number of the slot machine you choose.,-99,-99,14,0,52
29,0,0,-99,1,E,--,I,0,-99,1,E,--,I,Please respond with the number of the slot machine you choose.,-99,-99,14,0,48
30,0,0,-99,1,E,--,I,0,-99,1,E,--,I,I would choose slot machine E.,0,1,11,0,47
31,1,2,3,4,F,J,B,4,2,3,B,F,J,I would choose slot machine B.,1,1,15,33,49
32,3,7,8,9,H,A,G,7,8,9,H,A,G,I would choose slot machine G.,1,0,9,51,84
33,3,7,8,9,H,A,G,8,7,9,A,H,G,I would choose slot machine G.,1,0,16,50,87
34,1,2,3,4,F,J,B,2,3,4,F,J,B,I would choose slot machine B.,1,0,13,32,50
35,0,0,-99,1,E,--,I,0,-99,1,E,--,I,Please respond with your choice.,-99,-99,12,0,49
36,1,2,3,4,F,J,B,2,4,3,F,B,J,I would choose slot machine B.,1,0,14,32,53
37,0,0,-99,1,E,--,I,0,-99,1,E,--,I,Please respond with your choice.,-99,-99,11,0,50
38,3,7,8,9,H,A,G,8,7,9,A,H,G,I would choose slot machine G.,1,0,12,48,87
39,2,5,-99,6,C,--,D,5,-99,6,C,--,D,I would choose slot machine C.,0,1,12,0,88
40,3,7,8,9,H,A,G,7,9,8,H,G,A,I would choose slot machine H.,0,1,10,52,87
41,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,17,0,85
42,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,15,0,82
43,1,2,3,4,F,J,B,4,3,2,B,J,F,I would choose slot machine B.,1,1,15,35,49
44,1,2,3,4,F,J,B,4,3,2,B,J,F,I would choose slot machine B.,1,1,14,30,50
45,3,7,8,9,H,A,G,7,9,8,H,G,A,I would choose slot machine H.,0,1,15,54,82
46,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,13,0,83
47,0,0,-99,1,E,--,I,0,-99,1,E,--,I,Please respond with your choice.,-99,-99,16,0,51
48,0,0,-99,1,E,--,I,1,-99,0,I,--,E,Please respond with your choice.,-99,-99,14,0,51
49,0,0,-99,1,E,--,I,1,-99,0,I,--,E,Please respond with your choice.,-99,-99,14,0,50
50,0,0,-99,1,E,--,I,0,-99,1,E,--,I,I would choose slot machine E.,0,1,16,0,51
51,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,11,0,85
52,0,0,-99,1,E,--,I,0,-99,1,E,--,I,I would choose slot machine E.,0,1,12,0,51
53,0,0,-99,1,E,--,I,1,-99,0,I,--,E,I would choose slot machine E.,0,0,17,0,54
54,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,10,0,89
55,2,5,-99,6,C,--,D,5,-99,6,C,--,D,I would choose slot machine D.,1,0,17,0,86
56,2,5,-99,6,C,--,D,6,-99,5,D,--,C,I would choose slot machine D.,1,1,16,0,83
57,3,7,8,9,H,A,G,7,9,8,H,G,A,I would choose slot machine H.,0,1,14,47,83
58,3,7,8,9,H,A,G,7,9,8,H,G,A,I would choose slot machine H.,0,1,15,47,85
59,0,0,-99,1,E,--,I,0,-99,1,E,--,I,I would choose slot machine E.,0,1,14,0,49
0,99,0,-99,1,E,--,I,0,-99,1,E,--,I,I would choose slot machine E.,0,1,0,0,0
1,99,0,-99,2,E,--,F,2,-99,0,F,--,E,I would choose slot machine F.,1,1,0,0,0
2,99,0,-99,3,E,--,J,3,-99,0,J,--,E,I would choose slot machine J.,1,1,0,0,0
3,99,0,-99,4,E,--,B,0,-99,4,E,--,B,I would choose slot machine E.,0,1,0,0,0
4,99,0,-99,5,E,--,C,0,-99,5,E,--,C,I would choose slot machine E.,0,1,0,0,0
5,99,0,-99,6,E,--,D,0,-99,6,E,--,D,I would choose slot machine E.,0,1,0,0,0
6,99,0,-99,7,E,--,H,0,-99,7,E,--,H,I would choose slot machine E.,0,1,0,0,0
7,99,0,-99,8,E,--,A,0,-99,8,E,--,A,I would choose slot machine E.,0,1,0,0,0
8,99,0,-99,9,E,--,G,0,-99,9,E,--,G,I would choose slot machine E.,0,1,0,0,0
9,99,1,-99,2,I,--,F,1,-99,2,I,--,F,I would choose slot machine I.,0,1,0,0,0
10,99,1,-99,3,I,--,J,1,-99,3,I,--,J,I would choose slot machine J.,1,0,0,0,0
11,99,1,-99,4,I,--,B,4,-99,1,B,--,I,I would choose slot machine B.,1,1,0,0,0
12,99,1,-99,5,I,--,C,5,-99,1,C,--,I,I would choose slot machine I.,0,0,0,0,0
13,99,1,-99,6,I,--,D,1,-99,6,I,--,D,I would choose slot machine I.,0,1,0,0,0
14,99,1,-99,7,I,--,H,1,-99,7,I,--,H,I would choose slot machine I.,0,1,0,0,0
15,99,1,-99,8,I,--,A,1,-99,8,I,--,A,I would choose slot machine I.,0,1,0,0,0
16,99,1,-99,9,I,--,G,1,-99,9,I,--,G,I would choose slot machine G.,1,0,0,0,0
17,99,2,-99,3,F,--,J,3,-99,2,J,--,F,I would choose slot machine J.,1,1,0,0,0
18,99,2,-99,4,F,--,B,4,-99,2,B,--,F,I would choose slot machine B.,1,1,0,0,0
19,99,2,-99,5,F,--,C,2,-99,5,F,--,C,I would choose slot machine F.,0,1,0,0,0
20,99,2,-99,6,F,--,D,2,-99,6,F,--,D,I would choose slot machine F.,0,1,0,0,0
21,99,2,-99,7,F,--,H,7,-99,2,H,--,F,I would choose slot machine H.,1,1,0,0,0
22,99,2,-99,8,F,--,A,2,-99,8,F,--,A,I would choose slot machine F.,0,1,0,0,0
23,99,2,-99,9,F,--,G,9,-99,2,G,--,F,I would choose slot machine G.,1,1,0,0,0
24,99,3,-99,4,J,--,B,4,-99,3,B,--,J,I would choose slot machine B.,1,1,0,0,0
25,99,3,-99,5,J,--,C,5,-99,3,C,--,J,I would choose slot machine C.,1,1,0,0,0
26,99,3,-99,6,J,--,D,3,-99,6,J,--,D,I would choose slot machine J.,0,1,0,0,0
27,99,3,-99,7,J,--,H,7,-99,3,H,--,J,I would choose slot machine H.,1,1,0,0,0
28,99,3,-99,8,J,--,A,3,-99,8,J,--,A,I would choose slot machine J.,0,1,0,0,0
29,99,3,-99,9,J,--,G,3,-99,9,J,--,G,I would choose slot machine J.,0,1,0,0,0
30,99,4,-99,5,B,--,C,4,-99,5,B,--,C,I would choose slot machine B.,0,1,0,0,0
31,99,4,-99,6,B,--,D,4,-99,6,B,--,D,I would choose slot machine B.,0,1,0,0,0
32,99,4,-99,7,B,--,H,7,-99,4,H,--,B,I would choose slot machine H.,1,1,0,0,0
33,99,4,-99,8,B,--,A,8,-99,4,A,--,B,I would choose slot machine A.,1,1,0,0,0
34,99,4,-99,9,B,--,G,4,-99,9,B,--,G,I would choose slot machine B.,0,1,0,0,0
35,99,5,-99,6,C,--,D,5,-99,6,C,--,D,I would choose slot machine C.,0,1,0,0,0
36,99,5,-99,7,C,--,H,5,-99,7,C,--,H,I would choose slot machine C.,0,1,0,0,0
37,99,5,-99,8,C,--,A,8,-99,5,A,--,C,I would choose slot machine A.,1,1,0,0,0
38,99,5,-99,9,C,--,G,5,-99,9,C,--,G,I would choose slot machine G.,1,0,0,0,0
39,99,6,-99,7,D,--,H,7,-99,6,H,--,D,I would choose slot machine H.,1,1,0,0,0
40,99,6,-99,8,D,--,A,8,-99,6,A,--,D,I would choose slot machine A.,1,1,0,0,0
41,99,6,-99,9,D,--,G,6,-99,9,D,--,G,I would choose slot machine D.,0,1,0,0,0
42,99,7,-99,8,H,--,A,7,-99,8,H,--,A,I would choose slot machine H.,0,1,0,0,0
43,99,7,-99,9,H,--,G,7,-99,9,H,--,G,I would choose slot machine H.,0,1,0,0,0
44,99,8,-99,9,A,--,G,8,-99,9,A,--,G,I would choose slot machine G.,1,0,0,0,0
