"condition","model","id","trial","context","L_index","M_index","H_index","left_index","middle_index","right_index","choice_idx","accuracy","L_outcome","M_outcome","H_outcome","left_outcome","middle_outcome","right_outcome"
"standard prompt","gpt-3.5-turbo-0125",0,19,0,0,-99,1,1,-99,0,0,1,10,0,49,49,0,10
"standard prompt","gpt-3.5-turbo-0125",0,20,1,2,3,4,3,4,2,1,1,14,32,49,32,49,14
"standard prompt","gpt-3.5-turbo-0125",0,21,3,7,8,9,9,8,7,0,1,12,51,86,86,51,12
"standard prompt","gpt-3.5-turbo-0125",0,22,0,0,-99,1,1,-99,0,0,1,13,0,50,50,0,13
"standard prompt","gpt-3.5-turbo-0125",0,23,1,2,3,4,4,2,3,0,1,14,30,49,49,14,30
"standard prompt","gpt-3.5-turbo-0125",0,24,1,2,3,4,2,3,4,2,1,14,32,48,14,32,48
"standard prompt","gpt-3.5-turbo-0125",0,25,3,7,8,9,9,7,8,0,1,11,48,83,83,11,48
"standard prompt","gpt-3.5-turbo-0125",0,26,2,5,-99,6,6,-99,5,0,1,14,0,87,87,0,14
"standard prompt","gpt-3.5-turbo-0125",0,27,3,7,8,9,9,8,7,0,1,16,48,86,86,48,16
"standard prompt","gpt-3.5-turbo-0125",0,28,1,2,3,4,3,2,4,2,1,14,37,47,37,14,47
"standard prompt","gpt-3.5-turbo-0125",0,29,1,2,3,4,3,2,4,2,1,14,32,48,32,14,48
"standard prompt","gpt-3.5-turbo-0125",0,30,0,0,-99,1,0,-99,1,1,1,8,0,48,8,0,48
"standard prompt","gpt-3.5-turbo-0125",0,31,2,5,-99,6,6,-99,5,0,1,13,0,86,86,0,13
"standard prompt","gpt-3.5-turbo-0125",0,32,1,2,3,4,3,4,2,1,1,12,28,54,28,54,12
"standard prompt","gpt-3.5-turbo-0125",0,33,3,7,8,9,7,9,8,1,1,11,49,86,11,86,49
"standard prompt","gpt-3.5-turbo-0125",0,34,2,5,-99,6,5,-99,6,1,1,13,0,84,13,0,84
"standard prompt","gpt-3.5-turbo-0125",0,35,1,2,3,4,3,2,4,2,1,11,31,46,31,11,46
"standard prompt","gpt-3.5-turbo-0125",0,36,2,5,-99,6,5,-99,6,1,1,15,0,85,15,0,85
"standard prompt","gpt-3.5-turbo-0125",0,37,3,7,8,9,9,8,7,0,1,10,48,84,84,48,10
"standard prompt","gpt-3.5-turbo-0125",0,38,1,2,3,4,4,3,2,0,1,13,29,47,47,29,13
"standard prompt","gpt-3.5-turbo-0125",0,39,2,5,-99,6,6,-99,5,0,1,13,0,88,88,0,13
"standard prompt","gpt-3.5-turbo-0125",0,40,3,7,8,9,7,8,9,2,1,14,50,91,14,50,91
"standard prompt","gpt-3.5-turbo-0125",0,41,3,7,8,9,9,8,7,0,1,11,50,85,85,50,11
"standard prompt","gpt-3.5-turbo-0125",0,42,3,7,8,9,8,9,7,1,1,13,50,88,50,88,13
"standard prompt","gpt-3.5-turbo-0125",0,43,2,5,-99,6,5,-99,6,1,1,12,0,85,12,0,85
"standard prompt","gpt-3.5-turbo-0125",0,44,0,0,-99,1,1,-99,0,0,1,12,0,52,52,0,12
"standard prompt","gpt-3.5-turbo-0125",0,45,2,5,-99,6,5,-99,6,1,1,14,0,86,14,0,86
"standard prompt","gpt-3.5-turbo-0125",0,46,2,5,-99,6,5,-99,6,1,1,15,0,87,15,0,87
"standard prompt","gpt-3.5-turbo-0125",0,47,0,0,-99,1,1,-99,0,0,1,15,0,47,47,0,15
"standard prompt","gpt-3.5-turbo-0125",0,48,0,0,-99,1,0,-99,1,1,1,12,0,47,12,0,47
"standard prompt","gpt-3.5-turbo-0125",0,49,1,2,3,4,3,4,2,1,1,15,31,52,31,52,15
"standard prompt","gpt-3.5-turbo-0125",0,50,2,5,-99,6,6,-99,5,0,1,13,0,85,85,0,13
"standard prompt","gpt-3.5-turbo-0125",0,51,3,7,8,9,7,9,8,1,1,17,50,85,17,85,50
"standard prompt","gpt-3.5-turbo-0125",0,52,0,0,-99,1,1,-99,0,0,1,14,0,49,49,0,14
"standard prompt","gpt-3.5-turbo-0125",0,53,1,2,3,4,4,2,3,0,1,14,30,51,51,14,30
"standard prompt","gpt-3.5-turbo-0125",0,54,3,7,8,9,9,7,8,0,1,13,50,86,86,13,50
"standard prompt","gpt-3.5-turbo-0125",0,55,2,5,-99,6,6,-99,5,0,1,15,0,87,87,0,15
"standard prompt","gpt-3.5-turbo-0125",0,56,1,2,3,4,4,3,2,0,1,13,27,50,50,27,13
"standard prompt","gpt-3.5-turbo-0125",0,57,2,5,-99,6,6,-99,5,0,1,15,0,84,84,0,15
"standard prompt","gpt-3.5-turbo-0125",0,58,0,0,-99,1,0,-99,1,1,1,12,0,52,12,0,52
"standard prompt","gpt-3.5-turbo-0125",0,59,3,7,8,9,7,9,8,1,1,13,50,90,13,90,50
"standard prompt","gpt-3.5-turbo-0125",0,0,99,0,-99,1,0,-99,1,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,1,99,0,-99,2,0,-99,2,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,2,99,0,-99,3,3,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,3,99,0,-99,4,4,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,4,99,0,-99,5,5,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,5,99,0,-99,6,0,-99,6,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,6,99,0,-99,7,7,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,7,99,0,-99,8,0,-99,8,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,8,99,0,-99,9,9,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,9,99,1,-99,2,1,-99,2,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,10,99,1,-99,3,3,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,11,99,1,-99,4,4,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,12,99,1,-99,5,1,-99,5,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,13,99,1,-99,6,6,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,14,99,1,-99,7,7,-99,1,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,15,99,1,-99,8,1,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,16,99,1,-99,9,9,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,17,99,2,-99,3,3,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,18,99,2,-99,4,2,-99,4,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,19,99,2,-99,5,2,-99,5,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,20,99,2,-99,6,6,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,21,99,2,-99,7,7,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,22,99,2,-99,8,8,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,23,99,2,-99,9,2,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,24,99,3,-99,4,3,-99,4,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,25,99,3,-99,5,3,-99,5,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,26,99,3,-99,6,6,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,27,99,3,-99,7,3,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,28,99,3,-99,8,3,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,29,99,3,-99,9,3,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,30,99,4,-99,5,5,-99,4,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,31,99,4,-99,6,6,-99,4,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,32,99,4,-99,7,4,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,33,99,4,-99,8,4,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,34,99,4,-99,9,4,-99,9,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,35,99,5,-99,6,5,-99,6,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,36,99,5,-99,7,7,-99,5,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,37,99,5,-99,8,5,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,38,99,5,-99,9,9,-99,5,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,39,99,6,-99,7,6,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,40,99,6,-99,8,6,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,41,99,6,-99,9,9,-99,6,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,42,99,7,-99,8,8,-99,7,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,43,99,7,-99,9,9,-99,7,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",0,44,99,8,-99,9,8,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,0,1,2,3,4,2,4,3,2,0,14,30,51,14,51,30
"standard prompt","gpt-3.5-turbo-0125",1,1,1,2,3,4,2,4,3,1,1,12,33,45,12,45,33
"standard prompt","gpt-3.5-turbo-0125",1,2,1,2,3,4,2,4,3,1,1,12,33,50,12,50,33
"standard prompt","gpt-3.5-turbo-0125",1,3,1,2,3,4,2,3,4,2,1,15,33,50,15,33,50
"standard prompt","gpt-3.5-turbo-0125",1,4,1,2,3,4,3,4,2,1,1,15,33,50,33,50,15
"standard prompt","gpt-3.5-turbo-0125",1,5,2,5,-99,6,6,-99,5,1,0,14,0,87,87,0,14
"standard prompt","gpt-3.5-turbo-0125",1,6,2,5,-99,6,6,-99,5,0,1,13,0,86,86,0,13
"standard prompt","gpt-3.5-turbo-0125",1,7,3,7,8,9,8,7,9,0,0,14,51,88,51,14,88
"standard prompt","gpt-3.5-turbo-0125",1,8,0,0,-99,1,0,-99,1,0,0,14,0,46,14,0,46
"standard prompt","gpt-3.5-turbo-0125",1,9,3,7,8,9,9,7,8,0,1,11,50,87,87,11,50
"standard prompt","gpt-3.5-turbo-0125",1,10,0,0,-99,1,1,-99,0,0,1,15,0,47,47,0,15
"standard prompt","gpt-3.5-turbo-0125",1,11,1,2,3,4,3,4,2,1,1,17,31,50,31,50,17
"standard prompt","gpt-3.5-turbo-0125",1,12,1,2,3,4,3,4,2,1,1,13,30,51,30,51,13
"standard prompt","gpt-3.5-turbo-0125",1,13,0,0,-99,1,0,-99,1,1,1,16,0,49,16,0,49
"standard prompt","gpt-3.5-turbo-0125",1,14,0,0,-99,1,1,-99,0,0,1,13,0,51,51,0,13
"standard prompt","gpt-3.5-turbo-0125",1,15,3,7,8,9,8,9,7,1,1,14,52,83,52,83,14
"standard prompt","gpt-3.5-turbo-0125",1,16,0,0,-99,1,0,-99,1,1,1,15,0,51,15,0,51
"standard prompt","gpt-3.5-turbo-0125",1,17,0,0,-99,1,1,-99,0,0,1,12,0,49,49,0,12
"standard prompt","gpt-3.5-turbo-0125",1,18,0,0,-99,1,1,-99,0,0,1,12,0,49,49,0,12
"standard prompt","gpt-3.5-turbo-0125",1,19,3,7,8,9,9,7,8,0,1,13,50,87,87,13,50
"standard prompt","gpt-3.5-turbo-0125",1,20,2,5,-99,6,5,-99,6,1,1,12,0,84,12,0,84
"standard prompt","gpt-3.5-turbo-0125",1,21,3,7,8,9,7,9,8,1,1,16,46,86,16,86,46
"standard prompt","gpt-3.5-turbo-0125",1,22,2,5,-99,6,6,-99,5,0,1,15,0,84,84,0,15
"standard prompt","gpt-3.5-turbo-0125",1,23,3,7,8,9,8,7,9,2,1,12,46,84,46,12,84
"standard prompt","gpt-3.5-turbo-0125",1,24,0,0,-99,1,1,-99,0,0,1,15,0,48,48,0,15
"standard prompt","gpt-3.5-turbo-0125",1,25,2,5,-99,6,5,-99,6,1,1,14,0,88,14,0,88
"standard prompt","gpt-3.5-turbo-0125",1,26,0,0,-99,1,0,-99,1,1,1,16,0,49,16,0,49
"standard prompt","gpt-3.5-turbo-0125",1,27,1,2,3,4,3,4,2,1,1,13,32,50,32,50,13
"standard prompt","gpt-3.5-turbo-0125",1,28,3,7,8,9,8,9,7,1,1,15,49,87,49,87,15
"standard prompt","gpt-3.5-turbo-0125",1,29,0,0,-99,1,0,-99,1,1,1,16,0,47,16,0,47
"standard prompt","gpt-3.5-turbo-0125",1,30,0,0,-99,1,1,-99,0,0,1,15,0,50,50,0,15
"standard prompt","gpt-3.5-turbo-0125",1,31,1,2,3,4,3,2,4,2,1,15,31,54,31,15,54
"standard prompt","gpt-3.5-turbo-0125",1,32,0,0,-99,1,1,-99,0,0,1,12,0,53,53,0,12
"standard prompt","gpt-3.5-turbo-0125",1,33,2,5,-99,6,6,-99,5,0,1,15,0,87,87,0,15
"standard prompt","gpt-3.5-turbo-0125",1,34,3,7,8,9,9,7,8,0,1,12,53,82,82,12,53
"standard prompt","gpt-3.5-turbo-0125",1,35,1,2,3,4,3,2,4,2,1,10,32,52,32,10,52
"standard prompt","gpt-3.5-turbo-0125",1,36,2,5,-99,6,5,-99,6,1,1,15,0,84,15,0,84
"standard prompt","gpt-3.5-turbo-0125",1,37,1,2,3,4,3,4,2,1,1,10,32,54,32,54,10
"standard prompt","gpt-3.5-turbo-0125",1,38,2,5,-99,6,6,-99,5,0,1,16,0,86,86,0,16
"standard prompt","gpt-3.5-turbo-0125",1,39,1,2,3,4,2,4,3,1,1,10,31,45,10,45,31
"standard prompt","gpt-3.5-turbo-0125",1,40,1,2,3,4,4,3,2,0,1,10,31,49,49,31,10
"standard prompt","gpt-3.5-turbo-0125",1,41,2,5,-99,6,6,-99,5,0,1,16,0,84,84,0,16
"standard prompt","gpt-3.5-turbo-0125",1,42,3,7,8,9,9,7,8,0,1,16,51,85,85,16,51
"standard prompt","gpt-3.5-turbo-0125",1,43,0,0,-99,1,0,-99,1,1,1,13,0,50,13,0,50
"standard prompt","gpt-3.5-turbo-0125",1,44,3,7,8,9,9,7,8,0,1,12,51,86,86,12,51
"standard prompt","gpt-3.5-turbo-0125",1,45,2,5,-99,6,5,-99,6,1,1,12,0,85,12,0,85
"standard prompt","gpt-3.5-turbo-0125",1,46,3,7,8,9,7,8,9,2,1,13,48,86,13,48,86
"standard prompt","gpt-3.5-turbo-0125",1,47,2,5,-99,6,5,-99,6,1,1,13,0,84,13,0,84
"standard prompt","gpt-3.5-turbo-0125",1,48,3,7,8,9,8,7,9,2,1,11,50,87,50,11,87
"standard prompt","gpt-3.5-turbo-0125",1,49,0,0,-99,1,1,-99,0,0,1,12,0,53,53,0,12
"standard prompt","gpt-3.5-turbo-0125",1,50,3,7,8,9,7,9,8,1,1,12,48,84,12,84,48
"standard prompt","gpt-3.5-turbo-0125",1,51,3,7,8,9,7,9,8,1,1,14,46,86,14,86,46
"standard prompt","gpt-3.5-turbo-0125",1,52,1,2,3,4,4,2,3,0,1,15,32,52,52,15,32
"standard prompt","gpt-3.5-turbo-0125",1,53,1,2,3,4,3,2,4,2,1,13,28,49,28,13,49
"standard prompt","gpt-3.5-turbo-0125",1,54,3,7,8,9,8,7,9,2,1,14,48,84,48,14,84
"standard prompt","gpt-3.5-turbo-0125",1,55,2,5,-99,6,6,-99,5,0,1,14,0,86,86,0,14
"standard prompt","gpt-3.5-turbo-0125",1,56,2,5,-99,6,6,-99,5,0,1,11,0,88,88,0,11
"standard prompt","gpt-3.5-turbo-0125",1,57,2,5,-99,6,5,-99,6,1,1,13,0,87,13,0,87
"standard prompt","gpt-3.5-turbo-0125",1,58,0,0,-99,1,0,-99,1,1,1,15,0,49,15,0,49
"standard prompt","gpt-3.5-turbo-0125",1,59,2,5,-99,6,6,-99,5,0,1,10,0,89,89,0,10
"standard prompt","gpt-3.5-turbo-0125",1,0,99,0,-99,1,1,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,1,99,0,-99,2,2,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,2,99,0,-99,3,0,-99,3,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,3,99,0,-99,4,0,-99,4,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,4,99,0,-99,5,5,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,5,99,0,-99,6,6,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,6,99,0,-99,7,0,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,7,99,0,-99,8,8,-99,0,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,8,99,0,-99,9,0,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,9,99,1,-99,2,2,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,10,99,1,-99,3,3,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,11,99,1,-99,4,1,-99,4,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,12,99,1,-99,5,1,-99,5,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,13,99,1,-99,6,1,-99,6,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,14,99,1,-99,7,7,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,15,99,1,-99,8,1,-99,8,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,16,99,1,-99,9,9,-99,1,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,17,99,2,-99,3,3,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,18,99,2,-99,4,2,-99,4,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,19,99,2,-99,5,5,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,20,99,2,-99,6,6,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,21,99,2,-99,7,7,-99,2,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,22,99,2,-99,8,8,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,23,99,2,-99,9,9,-99,2,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,24,99,3,-99,4,3,-99,4,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,25,99,3,-99,5,5,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,26,99,3,-99,6,3,-99,6,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,27,99,3,-99,7,7,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,28,99,3,-99,8,8,-99,3,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,29,99,3,-99,9,3,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,30,99,4,-99,5,4,-99,5,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,31,99,4,-99,6,6,-99,4,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,32,99,4,-99,7,4,-99,7,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,33,99,4,-99,8,4,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,34,99,4,-99,9,9,-99,4,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,35,99,5,-99,6,5,-99,6,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,36,99,5,-99,7,7,-99,5,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,37,99,5,-99,8,8,-99,5,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,38,99,5,-99,9,9,-99,5,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,39,99,6,-99,7,7,-99,6,1,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,40,99,6,-99,8,6,-99,8,0,0,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,41,99,6,-99,9,9,-99,6,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,42,99,7,-99,8,7,-99,8,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,43,99,7,-99,9,7,-99,9,1,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",1,44,99,8,-99,9,9,-99,8,0,1,0,0,0,0,0,0
"standard prompt","gpt-3.5-turbo-0125",2,0,3,7,8,9,8,9,7,2,0,12,49,88,49,88,12
"standard prompt","gpt-3.5-turbo-0125",2,1,1,2,3,4,3,4,2,0,0,13,34,43,34,43,13
"standard prompt","gpt-3.5-turbo-0125",2,2,2,5,-99,6,6,-99,5,1,0,15,0,81,81,0,15
"standard prompt","gpt-3.5-turbo-0125",2,3,1,2,3,4,2,3,4,1,0,10,31,49,10,31,49
"standard prompt","gpt-3.5-turbo-0125",2,4,3,7,8,9,7,9,8,1,1,17,47,86,17,86,47
"standard prompt","gpt-3.5-turbo-0125",2,5,3,7,8,9,7,8,9,2,1,15,51,85,15,51,85
"standard prompt","gpt-3.5-turbo-0125",2,6,2,5,-99,6,6,-99,5,0,1,11,0,90,90,0,11
"standard prompt","gpt-3.5-turbo-0125",2,7,3,7,8,9,9,8,7,0,1,15,54,83,83,54,15
"standard prompt","gpt-3.5-turbo-0125",2,8,2,5,-99,6,5,-99,6,1,1,14,0,86,14,0,86
"standard prompt","gpt-3.5-turbo-0125",2,9,3,7,8,9,9,7,8,0,1,13,52,88,88,13,52
"standard prompt","gpt-3.5-turbo-0125",2,10,1,2,3,4,3,4,2,1,1,16,33,49,33,49,16
"standard prompt","gpt-3.5-turbo-0125",2,11,3,7,8,9,7,9,8,1,1,9,48,81,9,81,48
"standard prompt","gpt-3.5-turbo-0125",2,12,1,2,3,4,3,4,2,1,1,17,32,50,32,50,17
"standard prompt","gpt-3.5-turbo-0125",2,13,1,2,3,4,2,3,4,2,1,11,28,49,11,28,49
"standard prompt","gpt-3.5-turbo-0125",2,14,0,0,-99,1,1,-99,0,0,1,17,0,50,50,0,17
"standard prompt","gpt-3.5-turbo-0125",2,15,3,7,8,9,7,9,8,1,1,14,52,86,14,86,52
"standard prompt","gpt-3.5-turbo-0125",2,16,2,5,-99,6,6,-99,5,0,1,15,0,84,84,0,15
"standard prompt","gpt-3.5-turbo-0125",2,17,3,7,8,9,8,7,9,2,1,12,50,87,50,12,87
"standard prompt","gpt-3.5-turbo-0125",2,18,2,5,-99,6,5,-99,6,1,1,13,0,84,13,0,84
"standard prompt","gpt-3.5-turbo-0125",2,19,2,5,-99,6,6,-99,5,0,1,13,0,83,83,0,13
"standard prompt","gpt-3.5-turbo-0125",2,20,2,5,-99,6,6,-99,5,0,1,16,0,84,84,0,16
"standard prompt","gpt-3.5-turbo-0125",2,21,3,7,8,9,7,8,9,2,1,13,49,85,13,49,85
"standard prompt","gpt-3.5-turbo-0125",2,22,2,5,-99,6,5,-99,6,1,1,14,0,87,14,0,87
"standard prompt","gpt-3.5-turbo-0125",2,23,1,2,3,4,3,4,2,1,1,16,29,52,29,52,16
"standard prompt","gpt-3.5-turbo-0125",2,24,0,0,-99,1,0,-99,1,1,1,11,0,51,11,0,51
"standard prompt","gpt-3.5-turbo-0125",2,25,1,2,3,4,3,4,2,1,1,14,33,49,33,49,14
"standard prompt","gpt-3.5-turbo-0125",2,26,0,0,-99,1,0,-99,1,1,1,11,0,51,11,0,51
"standard prompt","gpt-3.5-turbo-0125",2,27,1,2,3,4,3,4,2,1,1,16,33,50,33,50,16
"standard prompt","gpt-3.5-turbo-0125",2,28,0,0,-99,1,1,-99,0,0,1,14,0,47,47,0,14
"standard prompt","gpt-3.5-turbo-0125",2,29,1,2,3,4,3,4,2,1,1,16,30,52,30,52,16
"standard prompt","gpt-3.5-turbo-0125",2,30,0,0,-99,1,0,-99,1,1,1,15,0,53,15,0,53
